Cartographie interactive du SDES; ; 
Référentiel géographique : France par EPCI 2024; ; 
Code;Libellé;Ensemble des surfaces protegées: au moins une mesure de protection 2019
200035731;Communauté d'agglomération Roannais Agglomération;2941.66
200035756;Communauté de communes Astarac Arros en Gascogne;0
200035764;Communauté de communes de la Beauce Loirétaine;2945.57
200035772;Communauté de communes du Pays du Saintois;1549.01
200035814;Communauté d'agglomération Flers Agglo;11548.66
200035848;Communauté de communes du Châtillonnais en Berry;616.48
200035855;Communauté de communes Castelnaudary Lauragais Audois;15607.93
200035863;Communauté de communes Région Lézignanaise, Corbières et Minervois;47350.05
200035970;Communauté de communes Vexin Centre;24257.18
200036069;Communauté de communes du Pays de Mortagne au Perche;25986.3
200036077;Communauté de communes du Golfe de Saint-Tropez;9395.79
200036135;Communauté de communes Cœur de 99ance;959.34
200036150;Communauté de communes des Hauts du Val de Saône;3439.63
200036465;Communauté de communes de Thann-Cernay;10776.39
200036473;Communauté d'agglomération de Saintes - Grandes Rives - L'Agglo;4314.73
200036499;Communauté de communes de Marana-Golo;4327.09
200036523;Communauté de communes des Bastides en Haut Agenais Périgord;0.42
200036549;Communauté de communes Val de Gray;4833.3
200037059;Communauté de communes de la Haute Somme (Combles - Péronne - Roisel);994.15
200037133;Communauté de communes du Provinois;1754.66
200038958;Communauté de communes de la Pieve de l'Ornano et du Taravo;27885.39
200038990;Communauté de communes de Saint-Méen Montauban;0
200039022;Communauté d'agglomération Vitré Communauté;0
200039055;Communauté de communes Ouche et Montagne;17113.48
200039063;Communauté de communes Forêts, Seine et Suzon;12258.72
200039204;Communauté de communes de Lacq-Orthez;5660.45
200039519;Communauté de communes du Quercy Blanc;773.58
200039642;Communauté de communes Le Tonnerrois en Bourgogne;225.55
200039709;Communauté de communes du Serein;933.88
200039758;Communauté de communes Avallon, Vézelay, Morvan;35366.63
200039808;Communauté de communes des Gorges de l'Ardèche;6767.86
200039824;Communauté de communes Ardèche des Sources et Volcans;26695.48
200039832;Communauté de communes Pays des Vans en Cévennes;26429.76
200039857;Communauté d'agglomération du Pays de Grasse;36688.04
200039865;Metz Métropole;3011.56
200039907;Communauté de communes du Sud Messin;185.52
200039915;Communauté d'agglomération Cannes Pays de Lérins;1418.42
200039931;Communauté de communes Alpes d'Azur;65471.87
200039949;Communauté de communes Rives de Moselle;0.16
200040038;Communauté de communes Saône Doubs Bresse;2594.3
200040095;Communauté de communes Isle Vern Salembre en Périgord;28733.64
200040111;Communauté de communes Cœur de Chartreuse;35611.94
200040137;Communauté de communes des Lacs de Champagne;29149.97
200040178;Communauté de communes de l'Outre-Forêt;6390.21
200040202;Communauté de communes Provence Verdon;29136.61
200040210;Communauté de communes Lacs et Gorges du Verdon;47404.91
200040244;Communauté d'agglomération du Bocage Bressuirais;830.79
200040251;Communauté de communes Bassée-Montois;21780.03
200040277;Communauté d'agglomération Agglo du Pays de Dreux;3263.5
200040293;Communauté de communes du Clunisois;20154.01
200040350;Communauté de communes Bugey Sud;9293.82
200040384;Communauté de communes Isle Double Landais;23760.89
200040392;Communauté d'agglomération Le Grand Périgueux;101841.32
200040400;Communauté de communes du Périgord Ribéracois;68585.79
200040418;Communauté de communes du Pays de Serres en Quercy;30.36
200040426;Communauté de communes du Val de l'Oise;6.75
200040442;Communauté d'agglomération Luberon Monts de Vaucluse;36088.35
200040459;Communauté d'agglomération Montélimar Agglomération;1391.22
200040475;LBN Communauté;1476.83
200040491;Communauté de communes Porte de DrômArdèche;1058.02
200040509;Communauté de communes du Crestois et de Pays de Saillans Cœur de Drôme;2164.76
200040558;Communauté de communes Écueillé-Valençay;2042.4
200040566;Communauté d'agglomération de l'Ouest Rhodanien;57780.41
200040574;Communauté de communes Beaujolais Pierres Dorées;25144.11
200040590;Communauté d'agglomération Ville99anche Beaujolais Saône;16784.69
200040624;Communauté de communes Pays d'Apt-Luberon;64034.21
200040657;Communauté de communes de la Matheysine;25994.69
200040681;Communauté de communes Enclave des Papes-Pays de Grignan;4123.36
200040715;Grenoble-Alpes-Métropole;21954.93
200040764;Communauté de communes du Sud Corse;11977.88
200040772;Communauté de communes du Perche et Haut Vendômois;0.38
200040798;Communauté de communes Val Vanoise;16769.76
200040814;Communauté de communes Briance Sud Haute Vienne;8828.21
200040830;Communauté de communes du Pays de Fénelon;32673.17
200040889;Communauté de communes de Portes Sud Périgord;7596.62
200040905;Communauté de communes Carmausin-Ségala;2716.78
200040947;Communauté d'agglomération Cœur de Flandre;1743.51
200040954;Communauté de communes des Hauts de Flandre;2446.98
200041010;Communauté de communes Cœur de Savoie;11877.13
200041051;Communauté de communes Vallée de la Dordogne et Forêt Bessède;25586.4
200041150;Communauté de communes Terrassonnais Haut Périgord Noir;58161.53
200041168;Communauté de communes de la Vallée de l'Homme;53694.44
200041283;Communauté de communes de la Plaine du Rhin;4022.74
200041317;Communauté d'agglomération du Niortais;58562.61
200041325;Communauté de communes du Pays Rhénan;5598.67
200041333;Communauté de communes de Parthenay-Gâtine;7872.63
200041366;Communauté de communes Rhône Crussol;1602.29
200041416;Communauté de communes Airvaudais-Val du Thouet;6042.23
200041440;Communauté de communes de Domme-Ville99anche du Périgord;26234.74
200041465;Communauté de communes Val Eyrieux;39362.57
200041499;Communauté de communes Aunis Atlantique;43448.59
200041507;Communauté d'agglomération La Riviera du Levant;505.85
200041515;Communauté de communes du Bassin de Pont-à-Mousson;13507.87
200041523;Communauté de communes de la Haute Saintonge;64011.91
200041556;Communauté de communes Portes de la Creuse en Marche;46.5
200041572;Communauté de communes Dronne et Belle;52084.76
200041614;Communauté de communes Aunis Sud;3759.77
200041622;Communauté de communes Ardennes Thiérache;42005.87
200041630;Ardenne Métropole;19135.16
200041689;Communauté de communes Vals de Saintonge Communauté;19243.97
200041721;Communauté de communes de la Haute Comté;17001.33
200041762;Communauté d'agglomération Rochefort Océan;16448.93
200041788;Communauté d'agglomération du Pays Nord Martinique;52013.7
200041853;Communauté de communes du Pays de Montbozon et du Chanois;286.21
200041861;Communauté de communes du Triangle Vert;5367.08
200041879;Communauté de communes Terres de Saône;4956.43
200041887;Communauté de communes du Val Marnaysien;108.75
200041960;Communauté de communes Pévèle-Carembault;5996.49
200041994;Communauté de communes Haut Val de Sèvre;5289.91
200042000;Communauté de communes Bruyères-Vallons des Vosges;126.3
200042174;Communauté d'agglomération Lorient Agglomération;2525.77
200042182;Communauté de communes du Mont des Avaloirs;28082.77
200042190;Communauté d'agglomération de la Porte du Hainaut;21054.98
200042372;Communauté de communes des Coteaux Arrats Gimone;2995.85
200042414;Communauté de communes Bresse Revermont 71;782.92
200042463;Communauté de communes de la Montagne Noire;5543.26
200042497;Communauté de communes Dombes Saône Vallée;2853.56
200042604;Communauté de communes de Granville, Terre et Mer;906.44
200042620;Communauté de communes de la Région de Suippes;5373.72
200042646;Communauté de communes Grand Orb communauté de communes en Languedoc;42572.31
200042653;Communauté de communes Sud-Hérault;11220.39
200042703;Communauté de communes de l'Argonne Champenoise;27445.29
200042729;Communauté de communes de la Baie du Cotentin;45500.47
200042901;Communauté de communes Drôme Sud Provence;1262.1
200042935;Communauté d'agglomération Haut - Bugey Agglomération;5768.95
200042943;Communauté de communes du Cap Corse;2810.85
200042992;Communauté de communes Perthois-Bocage et Der;28170.09
200043016;Communauté de communes Val de Charente;6901.14
200043065;Communauté de communes du Val d'Amboise;1088.67
200043081;Communauté de communes Chinon, Vienne et Loire;34736.74
200043123;Communauté de communes Auray Quiberon Terre Atlantique;12681.66
200043156;Communauté de communes du Pays Rethélois;2821.07
200043172;Communauté d'agglomération du Bassin de Brive;80794.22
200043263;Communauté de communes Cœur de l'Avesnois;41914.85
200043321;Communauté de communes du Pays de Mormal;36290.35
200043354;Communauté de communes de Villedieu Intercom;1179.89
200043396;Communauté d'agglomération Maubeuge Val de Sambre;16210.85
200043404;Communauté de communes du Sud Avesnois;17969.91
200043438;Communauté de communes de la Moivre à la Coole;36.85
200043495;Communauté d'agglomération du Pays de Laon;3151.29
200043602;Communauté de communes des Albères, de la Côte Vermeille et de l'Illibéris;8638.45
200043628;Communauté de communes des Vallées du Clain;141.99
200043693;Communauté de communes Terre Lorraine du Longuyonnais;85.54
200043776;Communauté de communes Pyrénées Audoises;71611.51
200043974;Communauté de communes du Sud Gironde;50220.02
200043982;Communauté de communes du Bazadais;26738.55
200043990;Communauté de communes Vallons de Haute-Bretagne Communauté;446.77
200044014;Communauté de communes Creuse Grand Sud;42218.2
200044030;Communauté de communes des 7 Vallées;435.45
200044048;Communauté de communes Osartis Marquion;0
200044253;Communauté de communes du Bassin de Joinville en Champagne;6712.62
200044394;Communauté de communes du Réolais en Sud Gironde;1759.02
200044469;Communauté de communes du Pays de Mirepoix;815.5
200044618;Communauté d'agglomération Douaisis Agglo;4473.49
200044691;Communauté d'agglomération du Nord Grande Terre;25237.06
200046977;Métropole de Lyon;1997.68
200048551;Communauté de communes du Pays de Craon;0
200049187;Communauté d'agglomération du Grand Verdun;12324.81
200049211;Communauté de communes Conflent-Canigó;60017.37
200049484;Communauté de communes Berry Grand Sud;1157.84
200050532;Communauté de communes de Petite-Terre;267.97
200054781;Métropole du Grand Paris;1420
200054807;Métropole d'Aix-Marseille-Provence;141683.07
200055481;Communauté de communes Beauce Val de Loire;26873.47
200055655;Communauté d'agglomération Roissy Pays de 99ance;571.43
200055887;Communauté de communes Mayenne Communauté;10124.45
